ranking,ISBN,title,author,publisher,genre,year
54,9784560087046 ,スペイン語の入門,瓜谷良平,白水社,各国語,2023
55,9784560061480 ,フランス語文法体系,京都大学フランス語部会,白水社,仏語,2023
56,9784815810092 ,現代アート入門,デイヴィッド・コッティントン,名古屋大学出版会,芸術総記,2023
57,9784641053786 ,国際政治学,中西寛,有斐閣,政治,2023
58,9784785334185 ,化学熱力学,原田義也,裳華房,化学,2023
59,9784812221280 ,ようこそアフリカ世界へ,遠藤貢,昭和堂（京都）,社会科学,2023
60,9784595319426 ,グローバル化時代の日本国憲法,山元一,放送大学教育振興会,法律,2023
61,9784492315194 ,マンキュー経済学　１（ミクロ編）,Ｎ．グレゴリ・マンキュー,東洋経済新報社,経済財政,2023
62,9784130626224 ,熱力学の基礎　１,清水明,東京大学出版会,物理学,2023
63,9784477033433 ,新微分積分Ｉ,高遠節夫,大日本図書,数学,2023
64,9784535558175 ,入門経済学,伊藤元重,日本評論社,経済財政,2023
65,9784807909087 ,アトキンス物理化学　上,ピーター・Ｗ．アトキンス,東京化学同人,化学,2023
66,9784641001596 ,国際条約集　２０２３年版,植木俊哉,有斐閣,法律,2023
67,9784634640962 ,中国倫理思想の考え方,水口拓寿,山川出版社（千代田区）,外国歴史,2023
68,9784781914459 ,演習図学と製図,磯田浩,サイエンス社,工学工業,2023
69,9784492315101 ,マンキューマクロ経済学　２,Ｎ・グレゴリー・マンキュー,東洋経済新報社,経済財政,2023
70,9784781911380 ,演習力学,今井功,サイエンス社,物理学,2023
71,9784000298636 ,電磁気学　１,長岡洋介,岩波書店,物理学,2023
72,9784535558441 ,ミクロ経済学,伊藤元重,日本評論社,経済財政,2023
73,9784863984066 ,ことばの架け橋,生越直樹,白帝社,各国語,2023
74,9784061572034 ,熱力学,菊川芳夫,講談社,物理学,2023
75,9784860420970 ,明快フランス語文法,渡邊淳也,早美出版社,仏語,2023
76,9784781907819 ,工科系の数学　４,クルト・マイベルク,サイエンス社,数学,2023
77,9784641115552 ,国際法判例百選,森川幸一,有斐閣,法律,2023
78,9784269630222 ,こうすれば英語が聞ける,中郷安浩,英宝社,英米語,2023
